gname,avgpos,timeout
g6,1297.7505,0
g1_v1,1301.7290,0
g5a,1305.0150,0
g7,1310.3395,0
g9,1323.0870,0
g5b,1327.5545,0
g3,1329.4655,0
g8Fruit,1334.5885,0
g1_v0,1337.3195,0
g2,1337.4260,0
g8,1342.6100,0
g4,1342.9030,0
