select players, bowlsz, dist, gname, avg(position) as avg_position, avg(score) as avg_score from game join result on game.id = result.game_id group by players, bowlsz, dist, gname;
+---------+--------+--------------+---------+--------------+-----------+
| players | bowlsz | dist         | gname   | avg_position | avg_score |
|      12 |     12 | uniform.txt  | g1_v0   |       5.4600 |  169.8850 |
|      12 |     12 | uniform.txt  | g1_v1   |       5.6055 |  169.7205 |
|      12 |     12 | uniform.txt  | g2      |       5.4655 |  183.2260 |
|      12 |     12 | uniform.txt  | g3      |       5.5590 |  179.8430 |
|      12 |     12 | uniform.txt  | g4      |       5.4860 |  168.8590 |
|      12 |     12 | uniform.txt  | g5a     |       5.4075 |  183.1420 |
|      12 |     12 | uniform.txt  | g5b     |       5.5515 |  172.9875 |
|      12 |     12 | uniform.txt  | g6      |       5.5310 |  177.9460 |
|      12 |     12 | uniform.txt  | g7      |       5.4445 |  184.2500 |
|      12 |     12 | uniform.txt  | g8      |       5.5690 |  171.1280 |
|      12 |     12 | uniform.txt  | g8Fruit |       5.3550 |  172.3930 |
|      12 |     12 | uniform.txt  | g9      |       5.5655 |  168.0330 |
|      12 |     12 | uniform2.txt | g1_v0   |       5.4665 |  158.5745 |
|      12 |     12 | uniform2.txt | g1_v1   |       5.4565 |  159.2120 |
|      12 |     12 | uniform2.txt | g2      |       5.4725 |  169.5530 |
|      12 |     12 | uniform2.txt | g3      |       5.4200 |  168.1395 |
|      12 |     12 | uniform2.txt | g4      |       5.4800 |  160.4200 |
|      12 |     12 | uniform2.txt | g5a     |       5.5550 |  171.1950 |
|      12 |     12 | uniform2.txt | g5b     |       5.3705 |  161.2555 |
|      12 |     12 | uniform2.txt | g6      |       5.4035 |  168.3510 |
|      12 |     12 | uniform2.txt | g7      |       5.5240 |  166.5110 |
|      12 |     12 | uniform2.txt | g8      |       5.6960 |  160.7205 |
|      12 |     12 | uniform2.txt | g8Fruit |       5.5480 |  161.6105 |
|      12 |     12 | uniform2.txt | g9      |       5.6075 |  161.9785 |
|      12 |     12 | uniform6.txt | g1_v0   |       5.2800 |  169.3545 |
|      12 |     12 | uniform6.txt | g1_v1   |       5.4710 |  167.7370 |
|      12 |     12 | uniform6.txt | g2      |       5.5775 |  181.4170 |
|      12 |     12 | uniform6.txt | g3      |       5.3790 |  177.6100 |
|      12 |     12 | uniform6.txt | g4      |       5.6975 |  169.7425 |
|      12 |     12 | uniform6.txt | g5a     |       5.6205 |  182.0060 |
|      12 |     12 | uniform6.txt | g5b     |       5.4740 |  173.9450 |
|      12 |     12 | uniform6.txt | g6      |       5.4725 |  176.1810 |
|      12 |     12 | uniform6.txt | g7      |       5.5860 |  180.4670 |
|      12 |     12 | uniform6.txt | g8      |       5.4950 |  171.8475 |
|      12 |     12 | uniform6.txt | g8Fruit |       5.4975 |  172.4410 |
|      12 |     12 | uniform6.txt | g9      |       5.4495 |  165.7270 |
|      12 |     36 | power2.txt   | g1_v0   |       5.5060 |  484.9055 |
|      12 |     36 | power2.txt   | g1_v1   |       5.4460 |  476.8785 |
|      12 |     36 | power2.txt   | g2      |       5.5495 |  507.3675 |
|      12 |     36 | power2.txt   | g3      |       5.4275 |  499.7070 |
|      12 |     36 | power2.txt   | g4      |       5.5890 |  492.1190 |
|      12 |     36 | power2.txt   | g5a     |       5.5085 |  496.0300 |
|      12 |     36 | power2.txt   | g5b     |       5.4595 |  502.6015 |
|      12 |     36 | power2.txt   | g6      |       5.4845 |  468.4270 |
|      12 |     36 | power2.txt   | g7      |       5.4025 |  479.9350 |
|      12 |     36 | power2.txt   | g8      |       5.6530 |  508.2955 |
|      12 |     36 | power2.txt   | g8Fruit |       5.4985 |  501.0040 |
|      12 |     36 | power2.txt   | g9      |       5.4755 |  503.5165 |
|      12 |     36 | random.txt   | g1_v0   |       5.4400 |  504.2330 |
|      12 |     36 | random.txt   | g1_v1   |       5.3785 |  501.7550 |
|      12 |     36 | random.txt   | g2      |       5.6300 |  513.2325 |
|      12 |     36 | random.txt   | g3      |       5.5275 |  505.2860 |
|      12 |     36 | random.txt   | g4      |       5.5820 |  503.3415 |
|      12 |     36 | random.txt   | g5a     |       5.4725 |  511.3035 |
|      12 |     36 | random.txt   | g5b     |       5.6310 |  514.7455 |
|      12 |     36 | random.txt   | g6      |       5.4555 |  464.8230 |
|      12 |     36 | random.txt   | g7      |       5.4965 |  507.6175 |
|      12 |     36 | random.txt   | g8      |       5.3605 |  514.4930 |
|      12 |     36 | random.txt   | g8Fruit |       5.5525 |  508.7140 |
|      12 |     36 | random.txt   | g9      |       5.4735 |  512.7255 |
|      12 |     36 | uniform.txt  | g1_v0   |       5.3580 |  511.7280 |
|      12 |     36 | uniform.txt  | g1_v1   |       5.5525 |  515.4605 |
|      12 |     36 | uniform.txt  | g2      |       5.5120 |  516.1150 |
|      12 |     36 | uniform.txt  | g3      |       5.5810 |  510.7400 |
|      12 |     36 | uniform.txt  | g4      |       5.3890 |  507.0130 |
|      12 |     36 | uniform.txt  | g5a     |       5.4765 |  512.2420 |
|      12 |     36 | uniform.txt  | g5b     |       5.4385 |  519.1155 |
|      12 |     36 | uniform.txt  | g6      |       5.5740 |  469.8455 |
|      12 |     36 | uniform.txt  | g7      |       5.6665 |  516.2215 |
|      12 |     36 | uniform.txt  | g8      |       5.4585 |  514.4745 |
|      12 |     36 | uniform.txt  | g8Fruit |       5.4230 |  506.5490 |
|      12 |     36 | uniform.txt  | g9      |       5.5705 |  515.9635 |
|      12 |     36 | uniform2.txt | g1_v0   |       5.5655 |  486.4080 |
|      12 |     36 | uniform2.txt | g1_v1   |       5.6135 |  468.9265 |
|      12 |     36 | uniform2.txt | g2      |       5.4860 |  490.2475 |
|      12 |     36 | uniform2.txt | g3      |       5.4870 |  492.0480 |
|      12 |     36 | uniform2.txt | g4      |       5.4690 |  490.5220 |
|      12 |     36 | uniform2.txt | g5a     |       5.5390 |  489.2705 |
|      12 |     36 | uniform2.txt | g5b     |       5.4045 |  489.7620 |
|      12 |     36 | uniform2.txt | g6      |       5.5740 |  471.8630 |
|      12 |     36 | uniform2.txt | g7      |       5.2935 |  490.0365 |
|      12 |     36 | uniform2.txt | g8      |       5.4750 |  488.0770 |
|      12 |     36 | uniform2.txt | g8Fruit |       5.5665 |  484.8215 |
|      12 |     36 | uniform2.txt | g9      |       5.5265 |  492.5200 |
|      12 |     36 | uniform6.txt | g1_v0   |       5.4545 |  496.4575 |
|      12 |     36 | uniform6.txt | g1_v1   |       5.4660 |  487.9895 |
|      12 |     36 | uniform6.txt | g2      |       5.5890 |  509.4970 |
|      12 |     36 | uniform6.txt | g3      |       5.5050 |  504.0015 |
|      12 |     36 | uniform6.txt | g4      |       5.4530 |  503.7745 |
|      12 |     36 | uniform6.txt | g5a     |       5.5350 |  508.0605 |
|      12 |     36 | uniform6.txt | g5b     |       5.5435 |  513.9395 |
|      12 |     36 | uniform6.txt | g6      |       5.5500 |  469.4610 |
|      12 |     36 | uniform6.txt | g7      |       5.4215 |  509.1425 |
|      12 |     36 | uniform6.txt | g8      |       5.5455 |  513.2225 |
|      12 |     36 | uniform6.txt | g8Fruit |       5.5175 |  506.4410 |
|      12 |     36 | uniform6.txt | g9      |       5.4195 |  507.4060 |
|      12 |    100 | power2.txt   | g1_v0   |       5.5805 | 1321.6085 |
|      12 |    100 | power2.txt   | g1_v1   |       5.5580 | 1321.3485 |
|      12 |    100 | power2.txt   | g2      |       5.5290 | 1369.7005 |
|      12 |    100 | power2.txt   | g3      |       5.5480 | 1358.4470 |
|      12 |    100 | power2.txt   | g4      |       5.4610 | 1342.5990 |
|      12 |    100 | power2.txt   | g5a     |       5.5085 | 1331.2140 |
|      12 |    100 | power2.txt   | g5b     |       5.4720 | 1354.0520 |
|      12 |    100 | power2.txt   | g6      |       5.3840 | 1307.8800 |
|      12 |    100 | power2.txt   | g7      |       5.4805 | 1310.6995 |
|      12 |    100 | power2.txt   | g8      |       5.4760 | 1356.4060 |
|      12 |    100 | power2.txt   | g8Fruit |       5.4815 | 1352.3530 |
|      12 |    100 | power2.txt   | g9      |       5.5210 | 1354.1455 |
|      12 |    100 | random.txt   | g1_v0   |       5.4065 | 1345.2275 |
|      12 |    100 | random.txt   | g1_v1   |       5.3580 | 1349.0875 |
|      12 |    100 | random.txt   | g2      |       5.4815 | 1380.0920 |
|      12 |    100 | random.txt   | g3      |       5.4905 | 1367.0645 |
|      12 |    100 | random.txt   | g4      |       5.5370 | 1368.5800 |
|      12 |    100 | random.txt   | g5a     |       5.5135 | 1347.9705 |
|      12 |    100 | random.txt   | g5b     |       5.6200 | 1371.6155 |
|      12 |    100 | random.txt   | g6      |       5.5175 | 1303.2445 |
|      12 |    100 | random.txt   | g7      |       5.5330 | 1343.0090 |
|      12 |    100 | random.txt   | g8      |       5.4990 | 1378.0460 |
|      12 |    100 | random.txt   | g8Fruit |       5.5955 | 1365.0715 |
|      12 |    100 | random.txt   | g9      |       5.4480 | 1380.7525 |
|      12 |    100 | uniform.txt  | g1_v0   |       5.6040 | 1372.8200 |
|      12 |    100 | uniform.txt  | g1_v1   |       5.4535 | 1381.7535 |
|      12 |    100 | uniform.txt  | g2      |       5.3745 | 1378.1400 |
|      12 |    100 | uniform.txt  | g3      |       5.4345 | 1373.8820 |
|      12 |    100 | uniform.txt  | g4      |       5.4000 | 1363.8365 |
|      12 |    100 | uniform.txt  | g5a     |       5.4935 | 1355.8730 |
|      12 |    100 | uniform.txt  | g5b     |       5.5020 | 1363.3935 |
|      12 |    100 | uniform.txt  | g6      |       5.5540 | 1301.5640 |
|      12 |    100 | uniform.txt  | g7      |       5.4645 | 1377.0355 |
|      12 |    100 | uniform.txt  | g8      |       5.5290 | 1380.4275 |
|      12 |    100 | uniform.txt  | g8Fruit |       5.6750 | 1364.3845 |
|      12 |    100 | uniform.txt  | g9      |       5.5155 | 1379.4605 |
|      12 |    100 | uniform2.txt | g1_v0   |       5.5395 | 1337.3195 |
|      12 |    100 | uniform2.txt | g1_v1   |       5.5515 | 1301.7290 |
|      12 |    100 | uniform2.txt | g2      |       5.4940 | 1337.4260 |
|      12 |    100 | uniform2.txt | g3      |       5.4875 | 1329.4655 |
|      12 |    100 | uniform2.txt | g4      |       5.4740 | 1342.9030 |
|      12 |    100 | uniform2.txt | g5a     |       5.4265 | 1305.0150 |
|      12 |    100 | uniform2.txt | g5b     |       5.6395 | 1327.5545 |
|      12 |    100 | uniform2.txt | g6      |       5.5295 | 1297.7505 |
|      12 |    100 | uniform2.txt | g7      |       5.4545 | 1310.3395 |
|      12 |    100 | uniform2.txt | g8      |       5.4865 | 1342.6100 |
|      12 |    100 | uniform2.txt | g8Fruit |       5.5145 | 1334.5885 |
|      12 |    100 | uniform2.txt | g9      |       5.4025 | 1323.0870 |
|      12 |    100 | uniform6.txt | g1_v0   |       5.5460 | 1336.6100 |
|      12 |    100 | uniform6.txt | g1_v1   |       5.5995 | 1336.8915 |
|      12 |    100 | uniform6.txt | g2      |       5.4595 | 1369.2550 |
|      12 |    100 | uniform6.txt | g3      |       5.4480 | 1369.9920 |
|      12 |    100 | uniform6.txt | g4      |       5.5705 | 1358.8995 |
|      12 |    100 | uniform6.txt | g5a     |       5.2930 | 1347.8990 |
|      12 |    100 | uniform6.txt | g5b     |       5.5705 | 1362.7330 |
|      12 |    100 | uniform6.txt | g6      |       5.5105 | 1312.2125 |
|      12 |    100 | uniform6.txt | g7      |       5.5460 | 1366.5280 |
|      12 |    100 | uniform6.txt | g8      |       5.5005 | 1367.9340 |
|      12 |    100 | uniform6.txt | g8Fruit |       5.5200 | 1356.6235 |
|      12 |    100 | uniform6.txt | g9      |       5.4360 | 1374.1150 |
|      13 |      1 | power2.txt   | dumb    |       5.8990 |   13.0685 |
|      13 |      1 | power2.txt   | g1_v0   |       6.0405 |   14.7395 |
|      13 |      1 | power2.txt   | g1_v1   |       6.0550 |   15.2035 |
|      13 |      1 | power2.txt   | g2      |       6.0385 |   16.6590 |
|      13 |      1 | power2.txt   | g3      |       5.9090 |   16.5805 |
|      13 |      1 | power2.txt   | g4      |       6.0790 |   13.9225 |
|      13 |      1 | power2.txt   | g5a     |       5.9895 |   17.1330 |
|      13 |      1 | power2.txt   | g5b     |       6.0330 |   16.4735 |
|      13 |      1 | power2.txt   | g6      |       6.0035 |   17.0055 |
|      13 |      1 | power2.txt   | g7      |       5.9600 |   17.2040 |
|      13 |      1 | power2.txt   | g8      |       5.9405 |   15.5350 |
|      13 |      1 | power2.txt   | g8Fruit |       5.9960 |   15.3550 |
|      13 |      1 | power2.txt   | g9      |       6.0565 |   15.4320 |
|      13 |      1 | random.txt   | dumb    |       6.0770 |   13.1640 |
|      13 |      1 | random.txt   | g1_v0   |       6.0340 |   15.1695 |
|      13 |      1 | random.txt   | g1_v1   |       5.9695 |   16.0535 |
|      13 |      1 | random.txt   | g2      |       5.9785 |   18.0720 |
|      13 |      1 | random.txt   | g3      |       6.0850 |   17.8460 |
