gname,avgpos,timeout
g6,1298.7248,0
dumb,1308.3038,0
g7,1316.8893,0
g1_v1,1317.3090,0
g1_v0,1332.0098,0
g8Fruit,1353.7258,0
g5a,1356.4248,0
g5b,1361.9758,0
g4,1364.9790,0
g9,1376.0968,0
g3,1376.2410,0
g2,1386.4390,0
g8,1397.3935,0
