gname,avgpos,timeout
g6,1297.0355,0
dumb,1300.5520,0
g7,1339.3590,0
g1_v0,1348.6430,0
g1_v1,1351.2015,0
g5a,1357.5025,0
g4,1361.3335,0
g8Fruit,1365.5175,0
g5b,1371.2155,0
g9,1374.6060,0
g3,1375.9490,0
g2,1380.5175,0
g8,1383.3910,0
