gname,avgpos,timeout
g6,1301.1818,0
dumb,1302.8088,0
g1_v0,1320.4920,0
g1_v1,1325.0445,0
g5a,1325.7468,0
g9,1328.2568,0
g7,1344.0145,0
g8,1344.3390,0
g4,1345.3283,0
g2,1347.9113,0
g3,1349.1888,0
g8Fruit,1354.8660,0
g5b,1355.3275,0
