gname,avgpos,timeout
dumb,1300.0390,0
g6,1300.7885,0
g1_v0,1343.6273,0
g1_v1,1352.1535,0
g8Fruit,1373.7525,0
g4,1373.8728,0
g5a,1374.5520,0
g5b,1381.7665,0
g3,1390.2783,0
g7,1398.6038,0
g9,1400.6245,0
g8,1403.0643,0
g2,1405.8570,0
