gname,avgpos,timeout
dumb,1304.4960,0
g5a,1304.7075,0
g6,1312.7980,0
g1_v0,1320.0240,0
g1_v1,1321.0510,1
g4,1321.9700,0
g7,1325.6105,0
g2,1327.3495,0
g9,1332.7375,0
g3,1334.3465,0
g5b,1338.8515,0
g8,1345.0020,0
g8Fruit,1346.9940,0
