gname,avgpos,timeout
dumb,1301.3980,0
g6,1302.1605,0
g1_v1,1330.5145,1
g1_v0,1335.6110,1
g5a,1338.1800,0
g8Fruit,1351.1480,0
g4,1360.2690,0
g3,1365.2645,0
g7,1365.3665,0
g2,1370.1195,0
g5b,1372.5155,0
g9,1379.5100,0
g8,1383.6345,0
