gname,avgpos,timeout
g6,1291.5660,0
dumb,1291.7415,0
g1_v1,1307.0375,1
g1_v0,1307.6940,1
g7,1319.4920,0
g5a,1331.4390,0
g9,1351.4910,0
g4,1351.9465,0
g8,1357.3655,0
g5b,1358.9070,0
g3,1359.0040,0
g8Fruit,1360.4565,0
g2,1388.8410,0
