gname,avgpos,timeout
g6,1303.2445,0
g7,1343.0090,0
g1_v0,1345.2275,0
g5a,1347.9705,0
g1_v1,1349.0875,0
g8Fruit,1365.0715,0
g3,1367.0645,0
g4,1368.5800,0
g5b,1371.6155,0
g8,1378.0460,0
g2,1380.0920,0
g9,1380.7525,0
