gname,avgpos,timeout
g6,1300.1883,0
dumb,1300.4050,0
g4,1380.1535,0
g8Fruit,1380.4893,0
g5b,1382.7003,0
g1_v0,1394.5135,0
g3,1397.4950,0
g5a,1399.4790,0
g1_v1,1401.0050,0
g7,1409.5178,0
g9,1410.7693,0
g2,1412.8563,0
g8,1416.1970,0
